name	cell.type	positive.epitopes
CD16- NK cells	CD16-negative, CD56-bright natural killer cell	NA
CD16+CD56mid NK	CD16-positive, CD56-dim natural killer cell	NA
Memory B cells	memory B cell	NA
Naive B cells	naive B cell	NA
Plasmablast	plasmablast	NA
NK cells	natural killer cell	NA
NKT	mature NK T cell	NA
CD4 T Cells	CD4-positive, alpha-beta T cell	NA
CD4 T Cells > CD25+	CD4-positive, alpha-beta T cell	IL2RA
CD4 T Cells > CD38+	CD4-positive, alpha-beta T cell	CD38
CD4 T Cells > Foxp3+	CD4-positive, alpha-beta T cell	FOXP3;KI67;IL2RA
CD4 T Cells > Ki-67+	CD4-positive, alpha-beta T cell	KI67
CD4 T Cells > PD-1+	CD4-positive, alpha-beta T cell	PDCD1
CM Th	central memory CD4-positive, alpha-beta T cell	NA
CM Th > CD25+	central memory CD4-positive, alpha-beta T cell	IL2RA
CM Th > CD38+	central memory CD4-positive, alpha-beta T cell	CD38;FOXP3
CM Th > Ki-67+	central memory CD4-positive, alpha-beta T cell	KI67
CM Th > PD-1+	central memory CD4-positive, alpha-beta T cell	PDCD1
EM Th	effector memory CD4-positive, alpha-beta T cell	NA
EM Th > CD25+	effector memory CD4-positive, alpha-beta T cell	IL2RA
EM Th > CD38+	effector memory CD4-positive, alpha-beta T cell	CD38
EM Th > Ki-67+	effector memory CD4-positive, alpha-beta T cell	KI67
EM Th > PD-1+	effector memory CD4-positive, alpha-beta T cell	PDCD1;CD38
Naive Th	naive thymus-derived CD8-positive, alpha-beta T cell	NA
Naive Th > CD25+	naive thymus-derived CD4-positive, alpha-beta T cell	IL2RA
Naive Th > CD38+	naive thymus-derived CD4-positive, alpha-beta T cell	CD38
Naive Th > Ki-67+	naive thymus-derived CD4-positive, alpha-beta T cell	KI67
Naive Th > PD-1+	naive thymus-derived CD4-positive, alpha-beta T cell	PDCD1
Treg	CD4-positive, CD25-positive, alpha-beta regulatory T cell	NA
Treg > CD25+	CD4-positive, CD25-positive, alpha-beta regulatory T cell	IL2RA
Treg > CD38+	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CD38
Treg > Ki-67+	CD4-positive, CD25-positive, alpha-beta regulatory T cell	KI67
Treg > PD-1+	CD4-positive, CD25-positive, alpha-beta regulatory T cell	PDCD1
CD8  T Cells	CD8-positive, alpha-beta T cell	NA
CD8  T Cells > CD25+	CD8-positive, alpha-beta T cell	IL2RA
CD8  T Cells > CD38+	CD8-positive, alpha-beta T cell	CD38
CD8  T Cells > Ki-67+	CD8-positive, alpha-beta T cell	KI67
CD8  T Cells > PD-1+	CD8-positive, alpha-beta T cell	PDCD1
CD8  T Cells > Foxp3+	CD8-positive, alpha-beta T cell	FOXP3
CM CD8	central memory CD8-positive, alpha-beta T cell	NA
CM CD8 > CD25+	central memory CD8-positive, alpha-beta T cell	IL2RA
CM CD8 > CD38+	central memory CD8-positive, alpha-beta T cell	CD38
CM CD8 > Ki-67+	central memory CD8-positive, alpha-beta T cell	KI67
CM CD8 > PD-1+	central memory CD8-positive, alpha-beta T cell	PDCD1
EM CD8	effector memory CD8-positive, alpha-beta T cell	NA
EM CD8 > CD25+	effector memory CD8-positive, alpha-beta T cell	IL2RA
EM CD8 > CD38+	effector memory CD8-positive, alpha-beta T cell	CD38
EM CD8 > Ki-67+	effector memory CD8-positive, alpha-beta T cell	KI67
EM CD8 > PD-1+	effector memory CD8-positive, alpha-beta T cell	PDCD1
Naive CD8	naive thymus-derived CD8-positive, alpha-beta T cell	NA
Naive CD8 > CD25+	naive thymus-derived CD8-positive, alpha-beta T cell	IL2RA
Naive CD8 > CD38+	naive thymus-derived CD8-positive, alpha-beta T cell	CD38
Naive CD8 > Ki-67+	naive thymus-derived CD8-positive, alpha-beta T cell	KI67
Naive CD8 > PD-1+	naive thymus-derived CD8-positive, alpha-beta T cell	PDCD1
TEMRA CD8	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	NA
TEMRA CD8 > CD25+	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	IL2RA
TEMRA CD8 > CD38+	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	CD38
TEMRA CD8 > Ki-67+	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	KI67
TEMRA CD8 > PD-1+	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	PDCD1
TCRgd+ T cells	mature gamma-delta T cell	NA
mDC	myeloid dendritic cell	NA
pDC	plasmacytoid dendritic cell	NA
Non-classical Monocytes	CD14-low, CD16-positive monocyte	NA
Intermediate Monocytes	CD14-positive, CD16-low monocyte	NA
Classical Monocytes	CD14-positive, CD16-negative classical monocyte	NA
basophil	basophil	NA
