cluster.id	value	variable	sample	epitope	sample.ind
cl4	1.77624513915673	median-channel-value	TCGA-02-2483-01A-01R-1849-01	CD33	1
cl144	NA	median-channel-value	TCGA-02-0047-01A-01D-1490-08	CCR2	2
cl132	NA	median-channel-value	TCGA-02-2486-01A-01D-1494-08	CD7	3
cl200	NA	median-channel-value	TCGA-02-2485-01A-01R-1849-01	CD19	4
cl4	3.19214801939924	median-channel-value	TCGA-02-2485-01A-01D-1494-08	DRA	5
cl60	0.928959833962609	median-channel-value	TCGA-02-2486-01A-01R-1849-01	ITAM	6
cl82	NA	median-channel-value	TCGA-02-0055-01A-01R-1849-01	TNR5	7
cl191	NA	median-channel-value	TCGA-02-2483-01A-01D-1494-08	CCR7	8
cl14	3.25118199725546	median-channel-value	TCGA-02-0055-01A-01D-1490-08	CD4	9
cl129	NA	median-channel-value	TCGA-02-2466-01A-01W-0837-08	NCAM1	10
cl60	0	median-channel-value	TCGA-02-0003-01A-01D-1490-08	IL7RA	11
cl25	NA	median-channel-value	TCGA-02-2486-01A-01D-1494-08	CD4	3
cl161	NA	median-channel-value	TCGA-02-0047-01A-01R-1849-01	PD1L1	12
cl67	0.402488326022776	median-channel-value	TCGA-02-0033-01A-01D-1490-08	PTPRC/CD45RA	13
cl50	0.293926377775193	median-channel-value	TCGA-02-2470-01A-01D-1494-08	CEAM1	14
cl179	2.5880362216052	median-channel-value	TCGA-04-1343-01A-01R-1564-13	FCERA	15
cl111	0.0866058754945427	median-channel-value	TCGA-04-1648-01A-01W-0639-09	CEAM1	16
cl95	3.31173525839332	median-channel-value	TCGA-04-1362-01A-01R-1565-13	CCR7	17
cl99	0.681634742648795	median-channel-value	TCGA-04-1347-01A-01R-1564-13	TRBM	18
cl148	0	median-channel-value	TCGA-02-2486-01A-01R-1849-01	CD1C	6
cl170	NA	median-channel-value	TCGA-02-2466-01A-01W-0837-08	CD8A	10
cl26	0.0541083007557869	median-channel-value	TCGA-04-1519-01A-01R-1565-13	KIT	19
cl101	0.78812848847518	median-channel-value	TCGA-02-0055-01A-01D-1490-08	CD8A	9
cl66	0	median-channel-value	TCGA-04-1347-01A-01W-0488-09	TRBM	20
cl37	0.623316444508389	median-channel-value	TCGA-04-1652-01A-01W-0639-09	FOXP3	21
cl125	0.689014260392496	median-channel-value	TCGA-04-1655-01A-01W-0633-09	CD8A	22
cl194	1.14129717661285	median-channel-value	TCGA-04-1369-01A-02D-1526-09	HAVR2	23
cl86	2.8953870296532	median-channel-value	TCGA-02-2485-01A-01R-1849-01	ITAM	4
cl91	1.47547449010678	median-channel-value	TCGA-04-1357-01A-01R-1565-13	CD3E	24
cl54	0	median-channel-value	TCGA-04-1644-01B-01D-1526-09	CCR2	25
cl16	0.00203869557591342	median-channel-value	TCGA-04-1646-01A-01W-0639-09	CEAM1	26
cl187	NA	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CD86	27
cl190	NA	median-channel-value	TCGA-04-1651-01A-01W-0639-09	HAVR2	28
cl101	1.47545043500512	median-channel-value	TCGA-04-1350-01A-01R-1565-13	CD4	29
cl40	0	median-channel-value	TCGA-04-1356-01A-01R-1569-13	CD1C	30
cl193	NA	median-channel-value	TCGA-04-1336-01A-01W-0486-08	IL7RA	31
cl163	NA	median-channel-value	TCGA-04-1367-01A-01W-0492-08	HAVR2	32
cl161	NA	median-channel-value	TCGA-04-1530-01A-02R-1569-13	CD33	33
cl149	4.2100103229381	median-channel-value	TCGA-04-1362-01A-01W-0492-08	CD38	34
cl4	0.313500230469975	median-channel-value	TCGA-04-1353-01A-01D-1526-09	TBX21	27
cl87	0.0997954747022488	median-channel-value	TCGA-04-1648-01A-01W-0639-09	CD4	16
cl119	NA	median-channel-value	TCGA-02-0047-01A-01D-1490-08	CD7	2
cl140	NA	median-channel-value	TCGA-04-1364-01A-01R-1565-13	CD8A	35
cl46	0.0436487105938173	median-channel-value	TCGA-04-1536-01A-01R-1566-13	TNR5	36
cl187	3.33719104676863	median-channel-value	TCGA-04-1332-01A-01R-1564-13	CCR7	37
cl189	2.88844399968803	median-channel-value	TCGA-02-2483-01A-01R-1849-01	CD86	1
cl199	NA	median-channel-value	TCGA-04-1341-01A-01W-0486-08	CCR7	38
cl2	0.838981266422196	median-channel-value	TCGA-04-1362-01A-01R-1565-13	PTPRC/CD45RA	17
cl93	2.90835092829894	median-channel-value	TCGA-04-1648-01A-01W-0639-09	CD14	16
cl185	NA	median-channel-value	TCGA-04-1341-01A-01R-1564-13	IL3RA	39
cl143	1.53829582696235	median-channel-value	TCGA-04-1649-01A-01W-0639-09	FCERA	40
cl80	0.258284249010183	median-channel-value	TCGA-04-1536-01A-01R-1566-13	FCGR1	36
cl98	0.154012768011337	median-channel-value	TCGA-04-1346-01A-01W-0486-08	CD19	41
cl68	0	median-channel-value	TCGA-04-1332-01A-01W-0488-09	CCR7	42
cl113	3.98150202209965	median-channel-value	TCGA-04-1644-01B-01D-1526-09	CD3E	25
