sample	Clonality
TCGA-OR-A5JG-01A-11R-A29S-07	0.055270873
TCGA-G5-6233-01A-11D-1733-10	0.01794051
TCGA-WZ-A7V3-01A-11D-A435-10	0.054422103
TCGA-BR-8081-01A-11D-2340-08	0.026157947
TCGA-DD-A3A1-01A-11R-A213-07	0.08637499
TCGA-DK-A1AC-01A-11R-A13Y-07	0.026393766
TCGA-V5-A7RB-01A-11R-A354-31	0.004289252
TCGA-DC-6683-01A-11R-1830-07	0.018878393
TCGA-BS-A0U5-01A-11D-A10G-09	0.033821814
TCGA-DJ-A3V8-01A-11R-A23N-07	0.014940061
TCGA-BR-6454-11A-01R-1802-13	0.01718291
TCGA-P5-A72X-01A-11D-A32B-08	0.004374463
TCGA-37-5819-01A-01R-1635-07	0.022631494
TCGA-EL-A3T8-01A-21R-A22L-07	0.003233391
TCGA-22-5482-01A-01D-1632-08	0.028851105
TCGA-A2-A0T4-01A-31R-A084-07	0.029016364
TCGA-AJ-A5DW-01A-11D-A27P-09	0.02939994
TCGA-BT-A42B-01A-32D-A23M-08	0.049979545
TARGET-30-PANUIF-01A-01R	0.010833516
TCGA-EY-A214-01A-12D-A159-09	0.055183314
TCGA-AZ-6606-01A-11R-1839-07	0.07514578
TCGA-RY-A83Z-01A-11R-A36H-07	0.087477334
TCGA-CN-4726-01A-01D-1434-08	0.1382599
TCGA-AB-2939-03A-01W-0745-08	0.24256822
TCGA-N7-A4Y8-01A-11R-A28V-07	0.024491964
TCGA-L5-A8NJ-01A-11D-A36J-09	0.00582951
TCGA-49-AARO-01A-12D-A410-08	0.017318947
TCGA-DD-AAEK-01A-11R-A41C-07	0.052615475
TCGA-CQ-7069-01A-11D-2394-08	0.14294231
TCGA-V4-A9F8-01A-11D-A39W-08	0.012371171
TCGA-DJ-A2PP-01A-11D-A19J-08	0.07783938
TCGA-RN-AAAQ-01A-21D-A38Z-09	0.016262466
TCGA-E2-A152-01A-11R-A12D-07	0.001440449
TCGA-V4-A9EW-01A-11R-A405-07	0.048609585
TCGA-FG-A70Y-01A-12D-A34J-08	0.081720285
TCGA-ZJ-A8QO-01A-11R-A37O-07	0.02107852
TCGA-G8-6906-01A-11R-2213-07	0.002132102
TCGA-AP-A0LP-01A-12D-A10B-09	0.16309696
TCGA-G4-6309-01A-21R-1839-07	0.17419149
TCGA-DX-A240-01A-32R-A27Q-07	0.04147743
TCGA-KK-A7B4-01A-11R-A32O-07	0.073750466
TCGA-56-A49D-01A-11R-A24H-07	0.25088206
TCGA-B6-A40B-01A-11D-A23C-09	0.23396692
TCGA-BS-A0T9-01A-11D-A12J-09	0.018171078
TCGA-FL-A1YH-11A-11R-A16F-07	0.008293781
TCGA-MA-AA3Y-01A-11R-A38B-07	0.028675247
TCGA-AC-A3TN-01A-11R-A22K-07	0.23178676
TCGA-B5-A1MV-01A-31D-A14G-09	0.027869064
TCGA-BT-A20Q-01A-11R-A14Y-07	0.17340681
TCGA-BH-A0BQ-01A-21R-A115-07	0.005113807
TCGA-G3-A5SM-01A-12D-A28X-10	0.21286792
TCGA-B3-3926-01A-02R-1351-07	0.14695446
TCGA-LN-A7HW-01A-22R-A354-31	0.0546851
TCGA-OR-A5JB-01A-11D-A29I-10	0.006499146
TARGET-20-PASWPD-09A-02R	0.1357679
TCGA-06-0645-01A-01R-1849-01	0.033959568
TCGA-RD-A8MV-01A-11D-A364-08	0.028917877
TCGA-A5-A0R8-01A-11D-A10B-09	0.056043528
TCGA-HN-A2OB-01A-21R-A27Q-07	0.038179707
TCGA-A2-A25B-01A-11D-A167-09	0.17025982
