gc.id	chrom	start	end	strand	assembly
GRCh38:chr1:+:1229796:1229796	chr1	1229796	1229796	+	:assembly/GRCh38
GRCh38:chr1:+:1374587:1374587	chr1	1374587	1374587	+	:assembly/GRCh38
GRCh38:chr1:+:1560749:1560749	chr1	1560749	1560749	+	:assembly/GRCh38
GRCh38:chr1:+:9324270:9324270	chr1	9324270	9324270	+	:assembly/GRCh38
GRCh38:chr1:+:10699817:10699817	chr1	10699817	10699817	+	:assembly/GRCh38
GRCh38:chr1:+:16011060:16011060	chr1	16011060	16011060	+	:assembly/GRCh38
GRCh38:chr1:+:17318822:17318822	chr1	17318822	17318822	+	:assembly/GRCh38
GRCh38:chr1:+:21049266:21049266	chr1	21049266	21049266	+	:assembly/GRCh38
GRCh38:chr1:+:22198776:22198776	chr1	22198776	22198776	+	:assembly/GRCh38
GRCh38:chr1:+:22970670:22970670	chr1	22970670	22970670	+	:assembly/GRCh38
GRCh38:chr1:+:26694272:26694272	chr1	26694272	26694272	+	:assembly/GRCh38
GRCh38:chr1:+:27023633:27023633	chr1	27023633	27023633	+	:assembly/GRCh38
GRCh38:chr1:+:35351304:35351304	chr1	35351304	35351304	+	:assembly/GRCh38
GRCh38:chr1:+:36552873:36552873	chr1	36552873	36552873	+	:assembly/GRCh38
GRCh38:chr1:+:56990069:56990069	chr1	56990069	56990069	+	:assembly/GRCh38
GRCh38:chr1:+:75608856:75608856	chr1	75608856	75608856	+	:assembly/GRCh38
GRCh38:chr1:+:89427116:89427116	chr1	89427116	89427116	+	:assembly/GRCh38
GRCh38:chr1:+:118165663:118165663	chr1	118165663	118165663	+	:assembly/GRCh38
GRCh38:chr1:+:147092059:147092059	chr1	147092059	147092059	+	:assembly/GRCh38
GRCh38:chr1:+:152127606:152127606	chr1	152127606	152127606	+	:assembly/GRCh38
GRCh38:chr1:+:152192039:152192039	chr1	152192039	152192039	+	:assembly/GRCh38
GRCh38:chr1:+:153652095:153652095	chr1	153652095	153652095	+	:assembly/GRCh38
GRCh38:chr1:+:154516512:154516512	chr1	154516512	154516512	+	:assembly/GRCh38
GRCh38:chr1:+:156195362:156195362	chr1	156195362	156195362	+	:assembly/GRCh38
GRCh38:chr1:+:157488567:157488567	chr1	157488567	157488567	+	:assembly/GRCh38
GRCh38:chr1:+:158227298:158227298	chr1	158227298	158227298	+	:assembly/GRCh38
GRCh38:chr1:+:158532614:158532614	chr1	158532614	158532614	+	:assembly/GRCh38
GRCh38:chr1:+:158548815:158548815	chr1	158548815	158548815	+	:assembly/GRCh38
GRCh38:chr1:+:159410378:159410378	chr1	159410378	159410378	+	:assembly/GRCh38
GRCh38:chr1:+:159898129:159898129	chr1	159898129	159898129	+	:assembly/GRCh38
GRCh38:chr1:+:169391323:169391323	chr1	169391323	169391323	+	:assembly/GRCh38
GRCh38:chr1:+:204948138:204948138	chr1	204948138	204948138	+	:assembly/GRCh38
GRCh38:chr1:+:220922141:220922141	chr1	220922141	220922141	+	:assembly/GRCh38
GRCh38:chr1:+:231349643:231349643	chr1	231349643	231349643	+	:assembly/GRCh38
GRCh38:chr1:+:234744526:234744526	chr1	234744526	234744526	+	:assembly/GRCh38
GRCh38:chr1:+:237024557:237024557	chr1	237024557	237024557	+	:assembly/GRCh38
GRCh38:chr1:+:240071390:240071390	chr1	240071390	240071390	+	:assembly/GRCh38
GRCh38:chr1:+:248112320:248112320	chr1	248112320	248112320	+	:assembly/GRCh38
GRCh38:chr1:+:248367272:248367272	chr1	248367272	248367272	+	:assembly/GRCh38
GRCh38:chr10:+:32742287:32742287	chr10	32742287	32742287	+	:assembly/GRCh38
GRCh38:chr10:+:43316134:43316134	chr10	43316134	43316134	+	:assembly/GRCh38
GRCh38:chr10:+:73579374:73579374	chr10	73579374	73579374	+	:assembly/GRCh38
GRCh38:chr10:+:90433466:90433466	chr10	90433466	90433466	+	:assembly/GRCh38
GRCh38:chr10:+:132902598:132902598	chr10	132902598	132902598	+	:assembly/GRCh38
GRCh38:chr11:+:14854313:14854313	chr11	14854313	14854313	+	:assembly/GRCh38
GRCh38:chr11:+:18478230:18478230	chr11	18478230	18478230	+	:assembly/GRCh38
GRCh38:chr11:+:45832881:45832881	chr11	45832881	45832881	+	:assembly/GRCh38
GRCh38:chr11:+:55322010:55322010	chr11	55322010	55322010	+	:assembly/GRCh38
GRCh38:chr11:+:55322011:55322011	chr11	55322011	55322011	+	:assembly/GRCh38
GRCh38:chr11:+:56114447:56114447	chr11	56114447	56114447	+	:assembly/GRCh38
GRCh38:chr11:+:62850793:62850793	chr11	62850793	62850793	+	:assembly/GRCh38
GRCh38:chr11:+:63137761:63137761	chr11	63137761	63137761	+	:assembly/GRCh38
GRCh38:chr11:+:64084932:64084932	chr11	64084932	64084932	+	:assembly/GRCh38
GRCh38:chr11:+:64136220:64136220	chr11	64136220	64136220	+	:assembly/GRCh38
GRCh38:chr11:+:64366068:64366068	chr11	64366068	64366068	+	:assembly/GRCh38
GRCh38:chr11:+:64981692:64981692	chr11	64981692	64981692	+	:assembly/GRCh38
GRCh38:chr11:+:78440432:78440432	chr11	78440432	78440432	+	:assembly/GRCh38
GRCh38:chr11:+:82878199:82878199	chr11	82878199	82878199	+	:assembly/GRCh38
GRCh38:chr11:+:94699544:94699544	chr11	94699544	94699544	+	:assembly/GRCh38
GRCh38:chr11:+:134252876:134252876	chr11	134252876	134252876	+	:assembly/GRCh38
GRCh38:chr12:+:4662254:4662254	chr12	4662254	4662254	+	:assembly/GRCh38
GRCh38:chr12:+:21007975:21007975	chr12	21007975	21007975	+	:assembly/GRCh38
GRCh38:chr12:+:21051402:21051402	chr12	21051402	21051402	+	:assembly/GRCh38
GRCh38:chr12:+:25398285:25398285	chr12	25398285	25398285	+	:assembly/GRCh38
GRCh38:chr12:+:50188603:50188603	chr12	50188603	50188603	+	:assembly/GRCh38
GRCh38:chr12:+:52820621:52820621	chr12	52820621	52820621	+	:assembly/GRCh38
GRCh38:chr12:+:52822524:52822524	chr12	52822524	52822524	+	:assembly/GRCh38
GRCh38:chr12:+:66788093:66788093	chr12	66788093	66788093	+	:assembly/GRCh38
